date,EUR_PLN,EUR_USD,PLN_EUR,PLN_USD,USD_EUR,USD_PLN
2023-02-01,4.7075,1.0861,0.2123,0.2307,0.9207,4.3344
2023-03-01,4.7046,1.0577,0.2123,0.2248,0.9454,4.448
2023-04-01,4.6831,1.0778,0.2133,0.2301,0.9278,4.3467
2023-05-01,4.5889,1.1011,0.2177,0.2399,0.9082,4.1681
2023-06-01,4.5256,1.0695,0.2208,0.2363,0.935,4.2322
2023-07-01,4.4379,1.0907,0.2251,0.2458,0.9169,4.0691
2023-08-01,4.4004,1.0998,0.2269,0.2499,0.9093,4.0013
2023-09-01,4.4707,1.0844,0.2234,0.2426,0.9222,4.1228
2023-10-01,4.6067,1.0592,0.217,0.2299,0.9441,4.3495
2023-11-01,4.4523,1.0579,0.2241,0.2376,0.9453,4.2084
2023-12-01,4.3504,1.0892,0.2296,0.2504,0.9181,3.9942
2024-01-01,4.3399,1.1056,0.2299,0.2547,0.9045,3.9256
2024-02-01,4.3259,1.0804,0.2308,0.2497,0.9256,4.0043
2024-03-01,4.3133,1.0805,0.2316,0.2506,0.9255,3.9904
2024-04-01,4.2983,1.0793,0.2325,0.2511,0.9265,3.9826
2024-05-01,4.3302,1.0667,0.2308,0.2463,0.9375,4.0596
2024-06-01,4.2534,1.0848,0.2349,0.255,0.9219,3.9211
2024-07-01,4.3121,1.0735,0.2316,0.249,0.9315,4.0167
2024-08-01,4.2883,1.0824,0.233,0.2524,0.9239,3.9616
2024-09-01,4.2804,1.1165,0.2334,0.2608,0.8957,3.8339
2024-10-01,4.2789,1.1137,0.2333,0.2602,0.8979,3.8427
2024-11-01,4.3511,1.0886,0.2296,0.2501,0.9186,3.9979
2024-12-01,4.3089,1.0444,0.2318,0.2424,0.9575,4.1248
2025-01-01,4.2626,1.0423,0.2343,0.2446,0.9594,4.0885
2025-02-01,4.21,1.0468,0.2372,0.2486,0.9553,4.0221
2025-03-01,4.1588,1.0475,0.2401,0.2519,0.9547,3.9705
2025-04-01,4.1809,1.0819,0.2388,0.2588,0.9243,3.8646
2025-05-01,4.2703,1.1325,0.2332,0.2652,0.883,3.7709
2025-06-01,4.2384,1.1388,0.2353,0.2687,0.8781,3.7218
2025-07-01,4.2415,1.1787,0.2354,0.2779,0.8484,3.5985
2025-08-01,4.2742,1.1424,0.2337,0.2673,0.8754,3.7417
2025-09-01,4.2604,1.1692,0.2345,0.2744,0.8553,3.6445
2025-10-01,4.2636,1.1736,0.2343,0.2752,0.8521,3.6331
2025-11-01,4.2394,1.1632,0.2357,0.2744,0.8597,3.6448
