date,BRK-B,EMIM.AS,VHVE.L
2023-02-01,310.57,28.54,80.49
2023-03-01,304.62,27.58,78.3
2023-04-01,302.14,26.85,78.42
2023-05-01,330.17,26.39,81.25
2023-06-01,323.12,27.26,82.46
2023-07-01,334.12,27.58,84.83
2023-08-01,352.26,29.01,88.77
2023-09-01,362.46,28.29,87.38
2023-10-01,359.42,27.68,83.42
2023-11-01,343.75,26.97,81.68
2023-12-01,357.07,28.19,89.11
2024-01-01,356.95,28.34,93.24
2024-02-01,386.44,28.34,94.09
2024-03-01,407.11,29.64,98.54
2024-04-01,420.2,29.95,100.82
2024-05-01,398.58,30.54,97.04
2024-06-01,403.9,31.55,102.32
2024-07-01,405.19,31.95,104.3
2024-08-01,431.81,31.69,104.44
2024-09-01,460.63,31.31,107.82
2024-10-01,457.41,33.22,109.12
2024-11-01,452.14,32.87,108.92
2024-12-01,478.56,32.91,111.94
2025-01-01,456.51,32.95,111.06
2025-02-01,474.7,32.26,112.64
2025-03-01,498.42,33.9,114.02
2025-04-01,532.99,32.59,108.72
2025-05-01,530.23,30.67,110.34
2025-06-01,509.16,32.73,115.78
2025-07-01,489.61,33.54,120.64
2025-08-01,472.84,34.05,120.6
2025-09-01,495.72,34.84,125.79
2025-10-01,498.2,37.15,129.96
2025-11-01,488.07,38.79,133.22
